type,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
conduit,28486,40888,35,0,0,0,0,0,0,0
conduit,32957,41597,35,0,0,0,0,0,0,0
conduit,32500,32500,250,0,0,0,0,0,0,0
boundary,0,0,2000000,0,2000000,2000000,0,2000000,0,0
boundary,0,0,1000000,0,1000000,457200,0,457200,0,0
conduit,27500,435128,350,0,0,0,0,0,0,0
conduit,20996,442502,100,0,0,0,0,0,0,0
conduit,21209,429272,100,0,0,0,0,0,0,0
conduit,33514,442372,100,0,0,0,0,0,0,0
conduit,33588,429542,100,0,0,0,0,0,0,0
conduit,45400,45400,508,0,0,0,0,0,0,0
conduit,96200,45400,508,0,0,0,0,0,0,0
boundary,0,0,2000000,0,2000000,2000000,0,2000000,0,0
boundary,0,0,400000,0,400000,150000,0,150000,0,0
conduit,16700,14200,254,0,0,0,0,0,0,0
boundary,0,0,200000,0,200000,200000,0,200000,0,0
conduit,3800,4500,35,0,0,0,0,0,0,0
conduit,4500,4500,50,0,0,0,0,0,0,0
boundary,0,0,2000000,0,2000000,2000000,0,2000000,0,0
conduit,22917,1969426,35,0,0,0,0,0,0,0
conduit,22967,1964750,35,0,0,0,0,0,0,0
conduit,25038,1973136,35,0,0,0,0,0,0,0
conduit,25468,1960481,35,0,0,0,0,0,0,0
conduit,27283,1968206,35,0,0,0,0,0,0,0
conduit,27995,1964487,35,0,0,0,0,0,0,0
conduit,28737,1976251,35,0,0,0,0,0,0,0
conduit,29309,1958311,35,0,0,0,0,0,0,0
conduit,29808,1971559,35,0,0,0,0,0,0,0
conduit,31720,1962904,35,0,0,0,0,0,0,0
conduit,33315,1976508,35,0,0,0,0,0,0,0
conduit,33362,1957978,35,0,0,0,0,0,0,0
conduit,33707,1963100,35,0,0,0,0,0,0,0
conduit,32039,1970774,35,0,0,0,0,0,0,0
conduit,30994,1966721,35,0,0,0,0,0,0,0
conduit,37454,1959468,35,0,0,0,0,0,0,0
conduit,30222,1959819,35,0,0,0,0,0,0,0
conduit,40304,1962761,35,0,0,0,0,0,0,0
conduit,27053,1963486,35,0,0,0,0,0,0,0
conduit,41597,1967043,35,0,0,0,0,0,0,0
conduit,32500,1967500,250,0,0,0,0,0,0,0
boundary,0,0,2000000,0,2000000,2000000,0,2000000,0,0
conduit,22500,1978200,35,0,0,0,0,0,0,0
conduit,22500,1977500,50,0,0,0,0,0,0,0
boundary,0,0,200000,0,200000,200000,0,200000,0,0
conduit,3800,4500,35,0,0,0,0,0,0,0
conduit,4500,4500,50,0,0,0,0,0,0,0
boundary,0,0,200000,0,200000,200000,0,200000,0,0
conduit,3800,4500,35,0,0,0,0,0,0,0
conduit,4500,4500,50,0,0,0,0,0,0,0
boundary,0,0,2000000,0,2000000,2000000,0,2000000,0,0
conduit,45400,1954600,508,0,0,0,0,0,0,0
boundary,0,0,1000000,0,1000000,1000000,0,1000000,0,0
conduit,22700,22700,254,0,0,0,0,0,0,0
boundary,0,0,2000000,0,2000000,2000000,0,2000000,0,0
conduit,32700,1967300,254,0,0,0,0,0,0,0
boundary,0,0,200000,0,200000,200000,0,200000,0,0
conduit,21050,178950,381,0,0,0,0,0,0,0
boundary,0,0,200000,0,200000,200000,0,200000,0,0
conduit,4500,3800,35,0,0,0,0,0,0,0
conduit,4500,4500,50,0,0,0,0,0,0,0
boundary,0,0,2000000,0,2000000,2000000,0,2000000,0,0
conduit,134300,58100,762,0,0,0,0,0,0,0
conduit,45400,45400,508,0,0,0,0,0,0,0
boundary,0,0,400000,0,400000,150000,0,150000,0,0
conduit,5800,4000,35,0,0,0,0,0,0,0
conduit,6500,4000,50,0,0,0,0,0,0,0
boundary,0,0,1000000,0,1000000,1000000,0,1000000,0,0
conduit,22700,22700,254,0,0,0,0,0,0,0
conduit,32700,32700,254,0,0,0,0,0,0,0
boundary,0,0,2000000,0,2000000,2000000,0,2000000,0,0
conduit,32700,32700,254,0,0,0,0,0,0,0
boundary,0,0,2000000,0,2000000,2000000,0,2000000,0,0
boundary,0,0,200000,0,200000,200000,0,200000,0,0
conduit,21050,178950,381,0,0,0,0,0,0,0
boundary,0,0,1000000,0,1000000,1000000,0,1000000,0,0
conduit,22700,22700,254,0,0,0,0,0,0,0
boundary,0,0,2000000,0,2000000,2000000,0,2000000,0,0
conduit,58100,58100,762,0,0,0,0,0,0,0
boundary,0,0,1000000,0,1000000,1000000,0,1000000,0,0
conduit,22700,22700,254,0,0,0,0,0,0,0
boundary,0,0,2000000,0,2000000,2000000,0,2000000,0,0
conduit,32700,32700,254,0,0,0,0,0,0,0
boundary,0,0,2000000,0,2000000,2000000,0,2000000,0,0
conduit,58100,1941900,762,0,0,0,0,0,0,0
boundary,0,0,2000000,0,2000000,2000000,0,2000000,0,0
conduit,23200,22500,35,0,0,0,0,0,0,0
conduit,22500,22500,50,0,0,0,0,0,0,0
conduit,32108,22807,35,0,0,0,0,0,0,0
conduit,37003,23570,35,0,0,0,0,0,0,0
conduit,26864,25038,35,0,0,0,0,0,0,0
conduit,40724,26564,35,0,0,0,0,0,0,0
conduit,33042,28384,35,0,0,0,0,0,0,0
conduit,23749,28737,35,0,0,0,0,0,0,0
conduit,42679,31554,35,0,0,0,0,0,0,0
conduit,37144,31958,35,0,0,0,0,0,0,0
conduit,28264,32317,35,0,0,0,0,0,0,0
conduit,23492,33315,35,0,0,0,0,0,0,0
conduit,32762,36016,35,0,0,0,0,0,0,0
conduit,40532,37454,35,0,0,0,0,0,0,0
conduit,24819,37719,35,0,0,0,0,0,0,0
conduit,37239,40304,35,0,0,0,0,0,0,0
conduit,28486,40888,35,0,0,0,0,0,0,0
conduit,32957,41597,35,0,0,0,0,0,0,0
conduit,32500,32500,250,0,0,0,0,0,0,0
boundary,0,0,2000000,0,2000000,2000000,0,2000000,0,0
boundary,0,0,1000000,0,1000000,1000000,0,1000000,0,0
conduit,22700,22700,254,0,0,0,0,0,0,0
boundary,0,0,2000000,0,2000000,2000000,0,2000000,0,0
conduit,22807,1967892,35,0,0,0,0,0,0,0
conduit,23570,1962997,35,0,0,0,0,0,0,0
conduit,25038,1973136,35,0,0,0,0,0,0,0
conduit,26564,1959276,35,0,0,0,0,0,0,0
conduit,39557,1968042,35,0,0,0,0,0,0,0
conduit,28737,1976251,35,0,0,0,0,0,0,0
conduit,31554,1957321,35,0,0,0,0,0,0,0
conduit,35983,1972144,35,0,0,0,0,0,0,0
conduit,32317,1971736,35,0,0,0,0,0,0,0
conduit,34626,1958492,35,0,0,0,0,0,0,0
conduit,31925,1967762,35,0,0,0,0,0,0,0
conduit,30487,1975532,35,0,0,0,0,0,0,0
conduit,30222,1959819,35,0,0,0,0,0,0,0
conduit,27637,1972239,35,0,0,0,0,0,0,0
conduit,27053,1963486,35,0,0,0,0,0,0,0
conduit,26344,1967957,35,0,0,0,0,0,0,0
conduit,32500,1967500,250,0,0,0,0,0,0,0
conduit,35400,602996,508,0,0,0,0,0,0,0
boundary,0,0,1000000,0,1000000,660400,0,660400,0,0
conduit,97705,318564,508,0,0,0,0,0,0,0
boundary,0,0,948000,0,948000,619000,0,619000,0,0
conduit,35400,602996,508,0,0,0,0,0,0,0
boundary,0,0,1000000,0,1000000,660400,0,660400,0,0
boundary,0,0,1000000,0,1000000,381000,0,381000,0,0
conduit,35400,326390,508,0,0,0,0,0,0,0
boundary,0,0,3238000,0,3238000,1357000,0,1357000,0,0
conduit,184780,64370,1016,0,0,0,0,0,0,0
conduit,286380,64370,1016,0,0,0,0,0,0,0
boundary,0,0,300000,0,300000,1000000,0,1000000,0,0
conduit,104600,35400,508,0,0,0,0,0,0,0
boundary,0,0,400000,0,400000,150000,0,150000,0,0
conduit,5800,4000,35,0,0,0,0,0,0,0
conduit,6500,4000,50,0,0,0,0,0,0,0
boundary,0,0,2000000,0,2000000,2000000,0,2000000,0,0
conduit,58100,58100,762,0,0,0,0,0,0,0
boundary,0,0,2000000,0,2000000,2000000,0,2000000,0,0
conduit,22807,1967892,35,0,0,0,0,0,0,0
conduit,23570,1962997,35,0,0,0,0,0,0,0
conduit,25038,1973136,35,0,0,0,0,0,0,0
conduit,26564,1959276,35,0,0,0,0,0,0,0
conduit,28384,1966958,35,0,0,0,0,0,0,0
conduit,28737,1976251,35,0,0,0,0,0,0,0
conduit,31554,1957321,35,0,0,0,0,0,0,0
conduit,31958,1962856,35,0,0,0,0,0,0,0
conduit,32317,1971736,35,0,0,0,0,0,0,0
conduit,34626,1958492,35,0,0,0,0,0,0,0
conduit,36016,1967238,35,0,0,0,0,0,0,0
conduit,37454,1959468,35,0,0,0,0,0,0,0
conduit,30222,1959819,35,0,0,0,0,0,0,0
conduit,27637,1972239,35,0,0,0,0,0,0,0
conduit,40888,1971514,35,0,0,0,0,0,0,0
conduit,41597,1967043,35,0,0,0,0,0,0,0
conduit,32500,1967500,250,0,0,0,0,0,0,0
conduit,32700,32700,254,0,0,0,0,0,0,0
boundary,0,0,2000000,0,2000000,2000000,0,2000000,0,0
conduit,34880,587410,508,0,0,0,0,0,0,0
boundary,0,0,948000,0,948000,619000,0,619000,0,0
boundary,0,0,400000,0,400000,150000,0,150000,0,0
conduit,5800,4000,35,0,0,0,0,0,0,0
conduit,6500,4000,50,0,0,0,0,0,0,0
boundary,0,0,2000000,0,2000000,2000000,0,2000000,0,0
conduit,23200,22500,35,0,0,0,0,0,0,0
conduit,22500,22500,50,0,0,0,0,0,0,0
boundary,0,0,1000000,0,1000000,1000000,0,1000000,0,0
conduit,22700,22700,254,0,0,0,0,0,0,0
conduit,32700,32700,254,0,0,0,0,0,0,0
boundary,0,0,2000000,0,2000000,2000000,0,2000000,0,0
boundary,0,0,600000,0,600000,1000000,0,1000000,0,0
conduit,44100,35400,508,0,0,0,0,0,0,0
conduit,32108,22807,35,0,0,0,0,0,0,0
conduit,37003,23570,35,0,0,0,0,0,0,0
conduit,26864,25038,35,0,0,0,0,0,0,0
conduit,40724,26564,35,0,0,0,0,0,0,0
conduit,33042,28384,35,0,0,0,0,0,0,0
conduit,23749,28737,35,0,0,0,0,0,0,0
conduit,42679,31554,35,0,0,0,0,0,0,0
conduit,37144,31958,35,0,0,0,0,0,0,0
conduit,28264,32317,35,0,0,0,0,0,0,0
conduit,23492,33315,35,0,0,0,0,0,0,0
conduit,32762,36016,35,0,0,0,0,0,0,0
conduit,40532,37454,35,0,0,0,0,0,0,0
conduit,24819,37719,35,0,0,0,0,0,0,0
conduit,37239,40304,35,0,0,0,0,0,0,0
conduit,28486,40888,35,0,0,0,0,0,0,0
conduit,32957,41597,35,0,0,0,0,0,0,0
conduit,32500,32500,250,0,0,0,0,0,0,0
boundary,0,0,2000000,0,2000000,2000000,0,2000000,0,0
boundary,0,0,2000000,0,2000000,2000000,0,2000000,0,0
conduit,22500,21800,35,0,0,0,0,0,0,0
conduit,22500,22500,50,0,0,0,0,0,0,0
boundary,0,0,400000,0,400000,150000,0,150000,0,0
conduit,5800,4000,35,0,0,0,0,0,0,0
conduit,6500,4000,50,0,0,0,0,0,0,0
boundary,0,0,200000,0,200000,200000,0,200000,0,0
conduit,4500,3800,35,0,0,0,0,0,0,0
conduit,4500,4500,50,0,0,0,0,0,0,0
boundary,0,0,1429000,0,1429000,948000,0,948000,0,0
conduit,668095,170544,1016,0,0,0,0,0,0,0
conduit,769695,170544,1016,0,0,0,0,0,0,0
boundary,0,0,1000000,0,1000000,1000000,0,1000000,0,0
conduit,22700,22700,254,0,0,0,0,0,0,0
boundary,0,0,300000,0,300000,1000000,0,1000000,0,0
conduit,28400,35400,508,0,0,0,0,0,0,0
